City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Tasiilaq,GL,2023-01-03 15:08:35,65.6145,-37.6368,8.76,77,82,3.94
96,Chokurdakh,RU,2023-01-03 15:08:35,70.6333,147.9167,-44.59,100,63,2.55
97,Naliya,IN,2023-01-03 15:08:36,23.2667,68.8333,68.18,22,2,9.33
98,Carnarvon,AU,2023-01-03 15:08:36,-24.8667,113.6333,79.39,73,69,10.89
99,Kimbe,PG,2023-01-03 15:08:36,-5.5502,150.1429,76.59,92,100,1.95
100,Gamba,GA,2023-01-03 15:08:37,-2.65,10.0,80.04,79,99,7.47
101,Saskylakh,RU,2023-01-03 15:08:37,71.9167,114.0833,-39.32,100,100,5.19
102,Dingle,PH,2023-01-03 15:08:38,10.9995,122.6711,74.12,97,100,7.36
103,Solnechnyy,RU,2023-01-03 15:08:38,50.7214,136.6319,-15.38,90,66,3.56
104,Kirakira,SB,2023-01-03 15:08:39,-10.4544,161.9205,79.07,87,97,7.92
105,Nouadhibou,MR,2023-01-03 15:08:39,20.931,-17.0347,72.54,55,0,10.13
106,Bredasdorp,ZA,2023-01-03 15:08:40,-34.5322,20.0403,76.1,57,1,17.94
107,Lebu,CL,2023-01-03 15:08:40,-37.6167,-73.65,61.72,73,0,18.99
108,Yellowknife,CA,2023-01-03 15:08:40,62.456,-114.3525,3.56,84,100,11.99
109,Mar Del Plata,AR,2023-01-03 15:03:49,-38.0023,-57.5575,76.82,72,93,11.99
110,Ust-Karsk,RU,2023-01-03 15:08:42,52.7011,118.8077,-21.3,99,51,3.18
111,Constitucion,CL,2023-01-03 15:08:43,-35.3333,-72.4167,68.58,52,0,13.65
112,Pascagoula,US,2023-01-03 15:08:43,30.3658,-88.5561,76.5,92,100,13.8
113,San Andres,CO,2023-01-03 15:08:43,12.5847,-81.7006,73.42,94,100,8.05
114,Vaini,TO,2023-01-03 15:08:44,-21.2,-175.2,77.16,88,75,9.22
115,Torbay,CA,2023-01-03 15:05:45,47.6666,-52.7314,31.39,83,98,7.0
116,Leningradskiy,RU,2023-01-03 15:08:44,69.3833,178.4167,-19.82,97,100,18.9
117,Erzin,TR,2023-01-03 15:08:45,36.9559,36.2,52.65,32,0,8.19
118,Alice Springs,AU,2023-01-03 15:08:45,-23.7,133.8833,74.75,94,100,1.14
119,Port Shepstone,ZA,2023-01-03 15:08:46,-30.7414,30.455,77.0,86,84,24.85
120,Souillac,MU,2023-01-03 15:08:46,-20.5167,57.5167,82.78,65,40,5.75
121,Diu,IN,2023-01-03 15:08:46,20.7141,70.9822,70.99,36,26,10.49
122,Mitu,CO,2023-01-03 15:08:47,1.1983,-70.1733,71.92,97,100,2.26
123,Dikson,RU,2023-01-03 15:08:47,73.5069,80.5464,-23.98,97,23,11.52
124,Tiksi,RU,2023-01-03 15:08:48,71.6872,128.8694,-6.65,92,100,10.16
125,Vanavara,RU,2023-01-03 15:08:48,60.34,102.2797,1.87,97,100,5.06
126,Bisert,RU,2023-01-03 15:08:48,56.8617,59.0523,10.22,98,96,3.53
127,Arkhangelsk,RU,2023-01-03 15:03:57,64.5401,40.5433,12.31,92,75,4.47
128,Cochrane,CA,2023-01-03 15:08:49,51.1834,-114.4687,15.76,10,75,5.79
129,Shieli,KZ,2023-01-03 15:08:49,44.1667,66.75,34.09,82,39,14.92
130,Tuktoyaktuk,CA,2023-01-03 15:08:50,69.4541,-133.0374,4.33,94,99,12.55
131,Takaungu,KE,2023-01-03 15:07:20,-3.6837,39.8566,81.82,72,9,10.67
132,Raga,SS,2023-01-03 15:08:50,8.4596,25.678,88.12,20,8,8.05
133,Talara,PE,2023-01-03 15:08:51,-4.5772,-81.2719,77.76,65,0,10.36
134,Yabrud,SY,2023-01-03 15:08:51,33.9674,36.6574,41.65,64,52,4.25
135,Tuatapere,NZ,2023-01-03 15:08:52,-46.1333,167.6833,57.52,87,100,1.77
136,Saint-Philippe,RE,2023-01-03 15:08:52,-21.3585,55.7679,81.99,80,63,8.5
137,Ribeira Grande,PT,2023-01-03 15:08:53,38.5167,-28.7,63.0,77,40,21.99
138,Longyearbyen,SJ,2023-01-03 15:08:54,78.2186,15.6401,31.84,69,75,4.61
139,Upernavik,GL,2023-01-03 15:08:54,72.7868,-56.1549,-16.17,64,8,6.11
140,Cidreira,BR,2023-01-03 15:08:55,-30.1811,-50.2056,77.13,63,2,10.96
141,Hithadhoo,MV,2023-01-03 15:08:55,-0.6,73.0833,80.82,70,16,10.02
142,Spornoye,RU,2023-01-03 15:08:56,50.8448,37.2913,42.51,90,100,14.7
143,Hermanus,ZA,2023-01-03 15:08:56,-34.4187,19.2345,69.8,72,0,17.54
144,Khatanga,RU,2023-01-03 15:08:56,71.9667,102.5,-33.21,99,100,5.66
145,Havelock,US,2023-01-03 15:08:57,34.8791,-76.9013,66.18,83,0,8.05
146,Fairbanks,US,2023-01-03 15:08:57,64.8378,-147.7164,-0.06,82,0,0.0
147,Westport,US,2023-01-03 15:05:32,41.1415,-73.3579,53.74,91,100,8.05
148,Jamestown,US,2023-01-03 15:08:58,42.097,-79.2353,51.44,71,100,8.05
149,Sitka,US,2023-01-03 15:08:58,57.0531,-135.33,39.09,81,20,5.75
150,Guanica,PR,2023-01-03 15:08:58,17.9716,-66.908,85.98,68,0,5.46
151,Liepaja,LV,2023-01-03 15:08:59,56.5419,21.0367,35.58,87,75,8.05
152,Piacabucu,BR,2023-01-03 15:06:03,-10.4056,-36.4344,83.91,61,100,12.82
153,Ginir,ET,2023-01-03 15:09:00,7.1333,40.7,65.75,31,99,6.71
154,Karwar,IN,2023-01-03 15:09:00,14.8,74.1333,76.05,75,0,6.67
155,Puerto Ayora,EC,2023-01-03 15:09:01,-0.7393,-90.3518,76.96,89,63,4.0
156,Arman,RU,2023-01-03 15:09:01,59.7,150.1667,1.44,78,100,15.68
157,Yizheng,CN,2023-01-03 15:09:02,24.6706,103.4296,39.6,95,0,4.27
158,Hualmay,PE,2023-01-03 15:09:02,-11.0964,-77.6139,72.88,77,100,6.22
159,Henties Bay,NA,2023-01-03 15:09:02,-22.116,14.2845,69.03,79,37,10.67
160,Codrington,AU,2023-01-03 15:09:03,-38.2667,141.9667,56.44,59,100,12.33
161,Chuy,UY,2023-01-03 15:09:03,-33.6971,-53.4616,80.19,31,0,5.64
162,Severo-Kurilsk,RU,2023-01-03 15:09:04,50.6789,156.125,15.22,51,95,6.78
163,Mustafakemalpasa,TR,2023-01-03 15:09:04,40.0353,28.4117,50.05,41,0,0.38
164,Baruun-Urt,MN,2023-01-03 15:09:05,46.6806,113.2792,-13.4,90,11,3.83
165,Ures,MX,2023-01-03 15:09:05,29.4333,-110.4,50.25,63,82,2.19
166,Tougan,BF,2023-01-03 15:09:05,13.0667,-3.0667,86.2,10,33,10.07
167,Pevek,RU,2023-01-03 15:09:06,69.7008,170.3133,-36.04,99,100,3.47
168,Hambantota,LK,2023-01-03 15:09:06,6.1241,81.1185,79.14,83,40,5.75
169,Beloha,MG,2023-01-03 15:09:07,-25.1667,45.05,73.29,91,100,13.96
170,Ahipara,NZ,2023-01-03 15:09:07,-35.1667,173.1667,64.54,94,100,19.8
171,Aranda De Duero,ES,2023-01-03 15:09:08,41.6704,-3.6892,46.76,48,5,3.53
172,Adrar,MR,2023-01-03 15:09:08,20.5022,-10.0711,76.32,9,0,10.85
173,Tonder,DK,2023-01-03 15:09:09,54.9331,8.8667,40.05,84,7,3.0
174,Kavieng,PG,2023-01-03 15:09:09,-2.5744,150.7967,82.13,79,100,15.23
175,Barrow,US,2023-01-03 15:09:09,71.2906,-156.7887,5.02,85,100,19.57
176,Qaanaaq,GL,2023-01-03 15:09:10,77.484,-69.3632,-16.94,69,46,3.78
177,Innisfail,AU,2023-01-03 15:09:10,-17.5333,146.0333,75.74,90,100,1.88
178,Manakara,MG,2023-01-03 15:07:22,-22.1333,48.0167,79.38,75,100,8.59
179,Waingapu,ID,2023-01-03 15:09:11,-9.6567,120.2641,80.98,78,100,18.39
180,Beringovskiy,RU,2023-01-03 15:09:11,63.05,179.3167,-17.86,92,83,11.72
181,Mbandaka,CD,2023-01-03 15:09:12,0.0487,18.2603,81.91,61,71,5.73
182,Marzuq,YE,2023-01-03 15:09:12,14.4,46.4667,69.67,31,5,4.56
183,Quatre Cocos,MU,2023-01-03 15:09:13,-20.2078,57.7625,82.51,69,41,10.11
184,Caravelas,BR,2023-01-03 15:09:14,-17.7125,-39.2481,86.0,54,50,10.54
185,Vardo,NO,2023-01-03 15:09:14,70.3705,31.1107,30.18,69,100,13.8
186,Sao Joao Da Barra,BR,2023-01-03 15:09:15,-21.6403,-41.0511,86.09,79,100,11.03
187,Sarakhs,IR,2023-01-03 15:09:15,36.5449,61.1577,50.45,22,12,4.97
188,Russell,US,2023-01-03 15:09:15,32.3502,-85.1999,69.4,83,0,9.22
189,Ranau,MY,2023-01-03 15:09:16,5.9538,116.6641,69.13,97,98,1.34
190,Tomatlan,MX,2023-01-03 15:09:16,19.9333,-105.25,71.78,60,0,1.9
191,Tres Arroyos,AR,2023-01-03 15:09:17,-38.3739,-60.2798,77.76,27,9,11.7
192,Fortuna,US,2023-01-03 15:09:17,40.5982,-124.1573,44.94,87,75,16.11
193,Kununurra,AU,2023-01-03 15:09:18,-15.7667,128.7333,80.58,89,81,4.61
194,Oussouye,SN,2023-01-03 15:09:18,12.485,-16.5469,92.73,20,83,3.71
195,Heihe,CN,2023-01-03 15:09:19,50.2441,127.4902,1.98,81,1,7.4
196,Amazar,RU,2023-01-03 15:09:19,53.858,120.875,-19.44,100,66,2.55
197,Narsaq,GL,2023-01-03 15:09:20,60.9167,-46.05,-9.18,67,14,5.82
198,Tsabong,BW,2023-01-03 15:09:20,-26.0217,22.401,90.77,26,88,10.22
199,Aykhal,RU,2023-01-03 15:09:21,66.0,111.5,-16.4,96,100,16.24
200,Labuhan,ID,2023-01-03 15:09:21,-6.8844,112.2051,78.21,85,100,11.95
201,Uruguaiana,BR,2023-01-03 15:09:21,-29.7547,-57.0883,87.73,33,0,8.05
202,Port Alfred,ZA,2023-01-03 15:09:22,-33.5906,26.891,82.36,64,9,24.45
203,Pueblo,US,2023-01-03 15:09:22,38.2545,-104.6091,28.09,86,8,4.63
204,Esperance,AU,2023-01-03 15:09:23,-33.8667,121.9,60.03,77,23,13.73
205,Victoria,HK,2023-01-03 15:05:53,22.2855,114.1577,64.26,79,57,5.01
206,Faanui,PF,2023-01-03 15:09:23,-16.4833,-151.75,80.29,77,94,16.51
207,Mwene-Ditu,CD,2023-01-03 15:09:24,-7.0,23.45,76.64,80,12,1.45
208,Margate,GB,2023-01-03 15:09:24,51.3813,1.3862,50.88,87,100,8.99
